X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,G_t,dip,azimuth,polarity,formation,series,id,order_series,smooth,group,T,X_s,Y_s,Z_s
451598.75,6783529.5,-6333.9443,0.291872537,0.556010208,0.453175219,-0.29235345,0.12584847,0.94799346,0,18.55953101,293.2902757,1,etive,sediments,4,4,0.01,etive A,0,0.0835450746519348,0.31855693916549577,0.06067085949476094
451471.72,6783620.0,-6394.657,0.278534934,0.565512318,0.446800647,-0.3166603,0.12223359,0.94063026,0,19.84232888,291.1070157,1,etive,sediments,4,4,0.01,etive A,0,0.05686986833538777,0.33756115999244196,0.04792171520967656
451373.94,6783926.5,-6606.303,0.268268455,0.597693499,0.424578728,-0.1892258,0.6801444,0.70823526,0,44.90848797,344.45268,1,etive,sediments,4,4,0.01,etive A,0,0.036336910186678124,0.4019235211356354,0.0034778774070263075
451701.94,6783891.0,-6405.1094,0.302707043,0.593966151,0.44570319,-0.36178017,0.38065866,0.8510077,0,31.67855788,316.4565843,1,etive,sediments,4,4,0.01,etive A,0,0.10521408622246099,0.394468826778104,0.04572680120115087
453017.72,6782054.5,-6137.425,0.440858279,0.401141557,0.473808899,-0.35755196,0.11487796,0.9268007,0,22.0585292,287.8117057,1,etive,sediments,4,4,0.01,etive B,0,0.38151655782112043,0.008819638394825855,0.10193822053295856
454043.5,6782238.0,-5719.077,0.548560763,0.420408267,0.517733639,-0.44977993,-0.002756944,0.89313513,0,26.73011121,269.6488076,1,etive,sediments,4,4,0.01,etive B,0,0.5969215262174231,0.04735305852460072,0.18978769870435397
453906.78,6782100.5,-5804.58,0.534205752,0.405971359,0.508756192,-0.43901828,-0.038688347,0.89764476,0,26.14981208,264.9638376,1,etive,sediments,4,4,0.01,etive B,0,0.5682115033283673,0.018479242351063695,0.17183280485500174
454012.47,6782402.0,-5739.2935,0.545302747,0.437627561,0.515610993,-0.44796425,0.004079754,0.89404213,0,26.61434174,270.5217966,1,etive,sediments,4,4,0.01,etive B,0,0.5904054933747638,0.08179164654249216,0.1855424077612827
452702.56,6782623.0,-6314.6646,0.407767836,0.46083161,0.455199504,-0.3331748,0.07678611,0.9397332,0,19.99320099,282.9782259,1,etive,sediments,4,4,0.01,etive B,0,0.3153356712374754,0.1281997438105044,0.06471943050334962
454244.53,6782580.5,-5606.9307,0.569668048,0.456369293,0.529508517,-0.4898205,-0.06072997,0.86970556,0,29.57555831,262.9323002,1,etive,sediments,4,4,0.01,etive B,0,0.6391360954200919,0.11927510972050204,0.21333745616429828
453183.06,6782763.0,-6173.549,0.458218267,0.475531007,0.470016035,-0.31920698,0.13850147,0.9375096,0,20.36255411,293.4556535,1,etive,sediments,4,4,0.01,etive B,0,0.4162365343020903,0.15759853845992391,0.09435249154784696
453087.97,6783017.0,-6229.334,0.448234226,0.502199914,0.46415885,-0.30320993,0.111208454,0.9464124,0,18.84206612,290.1415468,1,etive,sediments,4,4,0.01,etive B,0,0.39626845299341845,0.21093635160958504,0.08263812183700507
454482.94,6782845.5,-5442.227,0.594700071,0.484193152,0.546801697,-0.51203007,-0.002527335,0.8589638,0,30.79956326,269.7171955,1,etive,sediments,4,4,0.01,etive B,0,0.6892001427941444,0.17492282816404614,0.24792381512358114
453029.56,6783342.0,-6288.9277,0.442101428,0.536323515,0.457901768,-0.30009177,0.038608298,0.9531287,0,17.61173843,277.3311154,1,etive,sediments,4,4,0.01,etive B,0,0.3840028558829053,0.2791835534743089,0.07012395791772563
453910.0,6783032.0,-5857.4595,0.534543838,0.503774849,0.503204072,-0.5203451,0.07360095,0.8507784,0,31.70356635,278.0508747,1,etive,sediments,4,4,0.01,etive B,0,0.5688876756052981,0.21408622246488,0.16072856512883046
453435.38,6783079.5,-6105.031,0.484710781,0.508762145,0.47721013,-0.42977834,0.0763588,0.8996999,0,25.88135157,280.0746225,1,etive,sediments,4,4,0.01,etive B,0,0.4692215619159598,0.22406081350664733,0.10874068163205358
453952.16,6783174.0,-5829.4556,0.538970456,0.518684238,0.506144361,-0.5176894,0.035689145,0.85482395,0,31.25970902,273.9436912,1,etive,sediments,4,4,0.01,etive B,0,0.577740912622575,0.2439049998950055,0.16660914302513669
453623.1,6783286.0,-6030.849,0.504420573,0.530443756,0.484998921,-0.46543628,0.05905292,0.88310915,0,27.98027668,277.2308525,1,etive,sediments,4,4,0.01,etive B,0,0.5086411457130184,0.2674240356145411,0.12431826295121953
453712.16,6783478.5,-5988.9043,0.513771489,0.550655427,0.489402934,-0.48186344,0.046665918,0.8750028,0,28.95469299,275.5315421,1,etive,sediments,4,4,0.01,etive B,0,0.5273429789378559,0.3078473782574929,0.13312628882215888
454012.56,6783519.0,-5812.2134,0.545312196,0.554907753,0.507954717,-0.5090927,0.12670575,0.8513344,0,31.64289595,283.9761235,1,etive,sediments,4,4,0.01,etive B,0,0.5904243925999009,0.3163520295667893,0.17022985657588124
453406.12,6783963.0,-6179.953,0.481638607,0.601525842,0.469343643,-0.39877743,0.10921543,0.91052103,0,24.4225464,285.3163431,1,etive,sediments,4,4,0.01,etive B,0,0.4630772138342292,0.40958820688351977,0.09300770668402628
